"","JagsEstimates","ScalaEstimates","RainierEstimatesHMC50","trueCoefs","RainierEstimatesHMC100"
"int_effects[4,7]",0.58113285258719,-0.278802314870055,0.0429979059703078,0,-0.0953044899505824
"int_effects[4,8]",2.41531544652295,1.50010863197635,0.268496660206027,0,0.504531040400778
"int_effects[4,9]",1.83625834621913,1.169757721511,0.24973413797908,0,0.43170322892835
"int_effects[5,1]",-3.27220131595791,-3.35937090817048,-0.395113575371541,-3.8,-1.01765254985879
"int_effects[5,10]",-0.733867749899577,0.624011653754499,0.0643724234677766,0,0.199006722866303
"int_effects[5,11]",-14.5056000422298,-11.4530765483782,-1.54125559411006,-12.9,-3.72298344564652
"int_effects[5,12]",1.75073379120891,1.35860902274585,0.181875542426182,0,0.438401051394189
"int_effects[5,13]",1.28435080010462,0.546292611262336,0.0640881002173099,0,0.117998941945387
"int_effects[5,14]",0.366094600070758,0.270443606417506,0.0356935375276783,0,0.0631738417497821
"int_effects[5,15]",1.7302320841269,2.24024316065246,0.302236878049588,0,0.746151084249074
"int_effects[5,2]",1.972841674242,1.60436993243243,0.251111020020105,0,0.561507728398723
"int_effects[5,3]",0.216461579945912,0.588650892400812,0.0827670232963728,0,0.207088712133074
"int_effects[5,4]",1.24687177988828,1.02141776786156,0.135870081851981,0,0.319224486367387
"int_effects[5,5]",0.520322170118157,0.699182676430005,0.101579601341658,0,0.252491845374599
"int_effects[5,6]",2.57618848980482,1.11110790948588,0.156572887124956,0,0.315829169485233
"int_effects[5,7]",1.54213261981267,0.665474533400048,0.105328581219097,0,0.21680304825782
"int_effects[5,8]",3.40735775679826,2.4734411448028,0.353967319966104,0,0.827379385884412
"int_effects[5,9]",2.6607317670455,1.97615590767392,0.303666906308774,0,0.689681882726364
"int_effects[6,1]",-0.154486835864763,-0.307119239564563,0.0446856988776395,0,-0.046853689043971
"int_effects[6,10]",-1.64351595498817,-0.272864215705736,0.0477078270315981,0,0.0261545562463644
"int_effects[6,11]",-2.58115968572734,0.283062058933189,0.107913416656812,0,0.264645971450088
"int_effects[6,12]",0.627344217567567,0.242295072574737,0.0966138519357198,0,0.0951442574129622
"int_effects[6,13]",0.227381049547266,-0.498730461622282,-0.0269046647087796,0,-0.200508214839767
"int_effects[6,14]",-0.501318342710411,-0.588448126464646,-0.0248175928443771,0,-0.180077443137781
"int_effects[6,15]",0.334251844301862,0.859987900706474,0.202174590039004,0,0.364537434589202
"int_effects[6,2]",2.48167638743026,2.09687915411082,0.333843607723929,1.3,0.705940828285698
"int_effects[6,3]",-0.68608053423194,-0.303977691541641,0.0218338400770913,0,-0.0516015391097177
"int_effects[6,4]",0.136655900613885,-0.0796136356997087,0.0617088461988939,0,0.00530839712115031
"int_effects[6,5]",-0.136887449292524,0.0458333842938689,0.0671443617371821,0,0.0490453440695597
"int_effects[6,6]",1.331194399746,-0.117705799727453,0.0346972569657957,0,-0.0794828667902259
